,Season,TEAM,AGE,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Player ID
0,2021-22,PHI,21,75,74,2650,1311,483,995,48.5,132,309,42.7,213,246,86.6,26,214,240,321,55,32,88,156,1630178
1,2020-21,PHI,20,61,8,936,488,198,429,46.2,31,103,30.1,61,70,87.1,11,93,104,120,26,13,41,79,1630178
